 lrew_j                    SWAT+ Jun 28 2019    MODULAR Rev 2019.59.3                                     
                                                                                --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   366    12    31  2012       1    pnut                     1308.709     596.504      34.585       2.505
   366    12    31  2012       1    corn                      434.206     195.393       6.079       0.695
   366    12    31  2012       1    cots                      951.582     428.212      13.322       1.903
   366    12    31  2012       2    pnut                     2422.500    1104.152      63.858       6.627
   366    12    31  2012       2    corn                     1558.191     701.186      21.815       2.493
   366    12    31  2012       2    cots                     2232.712    1004.720      31.258       4.465
   366    12    31  2012       3    pnut                     1847.373     842.026      48.774       3.751
   366    12    31  2012       3    corn                      767.837     345.526      10.750       1.229
   366    12    31  2012       3    cots                     1409.352     634.208      19.731       2.819
   366    12    31  2012       4    pnut                     1783.668     812.963      46.879       5.038
   366    12    31  2012       4    corn                      670.761     301.842       9.391       1.073
   366    12    31  2012       4    cots                     1071.304     482.087      14.998       2.143
   366    12    31  2012       5    pnut                     2791.558    1272.382      73.676       6.967
   366    12    31  2012       5    corn                     1951.797     878.308      27.325       3.123
   366    12    31  2012       5    cots                     2948.651    1326.893      41.281       5.897
   366    12    31  2012       6    pnut                     3209.397    1462.851      84.759       8.223
   366    12    31  2012       6    corn                     2655.328    1194.898      37.175       4.249
   366    12    31  2012       6    cots                     3589.553    1615.299      50.254       7.179
   366    12    31  2012       7    past                     1687.631     760.808      28.624       5.171
   366    12    31  2012       8    past                     1487.032     670.425      25.344       4.539
   366    12    31  2012       9    past                     7255.679    3269.650     125.476      21.374
   366    12    31  2012      10    past                     3142.563    1416.953      54.363       8.279
   366    12    31  2012      11    past                     2582.247    1164.321      45.885       6.715
   366    12    31  2012      12    past                     7481.839    3372.940     140.350      19.268
   366    12    31  2012      13    past                     8081.761    3642.883     149.043      21.059
   366    12    31  2012      14    frse                        0.000       0.000       0.000       0.000
   366    12    31  2012      15    frse                        0.000       0.000       0.000       0.000
   366    12    31  2012      16    frse                        0.000       0.000       0.000       0.000
   366    12    31  2012      17    frse                        0.000       0.000       0.000       0.000
   366    12    31  2012      18    frse                        0.000       0.000       0.000       0.000
   366    12    31  2012      19    frse                        0.000       0.000       0.000       0.000
   366    12    31  2012      20    frse                        0.000       0.000       0.000       0.000
   366    12    31  2012      21    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2012      22    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2012      23    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2012      24    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2012      25    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2012      26    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2012      27    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2012      28    wetf                        0.000       0.000       0.000       0.000
   366    12    31  2012      29    wetf                        0.000       0.000       0.000       0.000
   366    12    31  2012      30    wetf                        0.000       0.000       0.000       0.000
   366    12    31  2012      31    wetf                        0.000       0.000       0.000       0.000
   366    12    31  2012      32    wetf                        0.000       0.000       0.000       0.000
   366    12    31  2012      33    wetf                        0.000       0.000       0.000       0.000
   366    12    31  2012      41    pnut                     2799.889    1276.322      74.288       7.026
   366    12    31  2012      41    corn                     5920.922    2664.415      82.893       9.473
   366    12    31  2012      41    cots                     3322.148    1494.967      46.510       6.644
   366    12    31  2012      42    pnut                     1354.040     617.166      35.771       2.607
   366    12    31  2012      42    corn                      487.577     219.410       6.826       0.780
   366    12    31  2012      42    cots                      956.122     430.255      13.386       1.912
   366    12    31  2012      43    pnut                     1457.206     664.176      38.430       2.931
   366    12    31  2012      43    corn                      434.919     195.713       6.089       0.696
   366    12    31  2012      43    cots                      718.626     323.382      10.061       1.437
   366    12    31  2012      44    pnut                     2645.073    1205.633      69.766       6.396
   366    12    31  2012      44    corn                     1531.377     689.120      21.439       2.450
   366    12    31  2012      44    cots                     2326.247    1046.811      32.567       4.652
   366    12    31  2012      45    pnut                     2019.240     920.384      53.438       4.159
   366    12    31  2012      45    corn                      850.587     382.764      11.908       1.361
   366    12    31  2012      45    cots                     1509.867     679.440      21.138       3.020
   366    12    31  2012      46    pnut                     1962.207     894.369      51.648       4.668
   366    12    31  2012      46    corn                      684.061     307.827       9.577       1.094
   366    12    31  2012      46    cots                     1154.229     519.403      16.159       2.308
   366    12    31  2012      47    pnut                     3200.319    1458.735      84.476       8.204
   366    12    31  2012      47    corn                     2046.999     921.149      28.658       3.275
   366    12    31  2012      47    cots                     3438.847    1547.481      48.144       6.878
   366    12    31  2012      48    pnut                     3394.845    1547.413      90.025       8.701
   366    12    31  2012      48    corn                     3099.750    1394.888      43.397       4.960
   366    12    31  2012      48    cots                     3721.220    1674.549      52.097       7.442
   366    12    31  2012      49    past                     9273.571    4178.761     160.999      28.898
   366    12    31  2012      50    past                     1666.066     751.114      28.289       5.227
   366    12    31  2012      51    past                     1474.353     664.714      25.142       4.519
   366    12    31  2012      52    past                     5806.911    2618.009     107.308      15.005
   366    12    31  2012      53    past                     3262.341    1470.507      55.942      10.437
   366    12    31  2012      54    past                     2548.076    1148.912      45.349       6.588
   366    12    31  2012      55    past                     7341.963    3309.959     137.957      18.794
   366    12    31  2012      56    past                     8771.232    3952.894     156.582      23.657
   366    12    31  2012      57    frse                        0.000       0.000       0.000       0.000
   366    12    31  2012      58    frse                        0.000       0.000       0.000       0.000
   366    12    31  2012      59    frse                        0.000       0.000       0.000       0.000
   366    12    31  2012      60    frse                        0.000       0.000       0.000       0.000
   366    12    31  2012      61    frse                        0.000       0.000       0.000       0.000
   366    12    31  2012      62    frse                        0.000       0.000       0.000       0.000
   366    12    31  2012      63    frse                        0.000       0.000       0.000       0.000
   366    12    31  2012      64    frse                        0.000       0.000       0.000       0.000
   366    12    31  2012      65    frsd                        0.000       0.000       0.000       0.000
   366    12    31  2012      66    frsd                        0.000       0.000       0.000       0.000
