 lrew_j                    SWAT+ Nov 28 2018    MODULAR Rev 2018.57                                       
  jday    mon   day   yr    unit  gis_id  name                 flo_in        flo_out            evap        tloss           sed_in        sed_out       sed_conc       orgn_in        orgn_out         orgp_in        orgp_out        no3_in        no3_out          nh4_in        nh4_out         no2_in        no2_out       solp_in       solp_out         chla_in       chla_out        cbod_in       cbod_out         dis_in        dis_out    solpst_in      solpst_out    sorbpst_in     sorbpst_out       react             volat     setlpst          resuspst       difus         reactb          bury            sedpest              bac           bacl            met            met            met         sand_i        sand_ou         silt_i        silt_ou         clay_i        clay_ou         smag_i        smag_ou          lag_i         lag_ou         grvl_i        grvl_ou         bnk_er          ch_de          ch_de          fp_de        tot_sse
                                                                 ha-m           ha-m            ha-m         ha-m             tons           tons           mg/L           kgN             kgN             kgP             kgP           kgN            kgN              kg             kg             kg             kg           kgP            kgP              kg             kg             kg             kg             kg             kg       mg pst          mg pst        mg pst          mg pst      mg pst                mg      mg pst                mg      mg pst             mg            mg                 mg                                                                                                                                                                                                                                                                                                                                            
   365    12    31  1993       1       1  cha1                 0.2469E+04     0.2462E+04     0.7007E+01     0.0000E+00     0.1114E+00     0.0000E+00     0.0000E+00     0.5392E+00     0.0000E+00     0.4258E+07     0.0000E+00     0.4447E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1571E+02     0.0000E+00     0.2041E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3244E+03     0.0000E+00     0.3268E+01     0.0000E+00     0.2528E+01     0.0000E+00     0.2521E+02     0.0000E+00     0.9783E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  1993       2       2  cha2                 0.1011E+04     0.1009E+04     0.2334E+01     0.0000E+00     0.1368E+00     0.0000E+00     0.0000E+00     0.1098E+03     0.0000E+00     0.4649E+07     0.0000E+00     0.8442E+04     0.0000E+00     0.2404E+02     0.0000E+00     0.1202E+02     0.0000E+00     0.1019E+03     0.0000E+00     0.3116E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8852E+03     0.0000E+00     0.8452E+01     0.0000E+00     0.6368E+01     0.0000E+00     0.6362E+02     0.0000E+00     0.8566E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  1993       3       3  cha3                 0.5540E+03     0.5531E+03     0.9508E+00     0.0000E+00     0.7417E-01     0.0000E+00     0.0000E+00     0.1762E+02     0.0000E+00     0.2571E+07     0.0000E+00     0.5872E+04     0.0000E+00     0.3761E+01     0.0000E+00     0.1880E+01     0.0000E+00     0.2462E+02     0.0000E+00     0.7121E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6529E+03     0.0000E+00     0.8958E+01     0.0000E+00     0.8610E+01     0.0000E+00     0.8603E+02     0.0000E+00     0.9404E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  1994       1       1  cha1                 0.3104E+04     0.3094E+04     0.9026E+01     0.0000E+00     0.1373E+00     0.0000E+00     0.0000E+00     0.5895E+00     0.0000E+00     0.4800E+07     0.0000E+00     0.3070E+04     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1207E+02     0.0000E+00     0.1642E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3696E+03     0.0000E+00     0.3627E+01     0.0000E+00     0.2863E+01     0.0000E+00     0.2856E+02     0.0000E+00     0.9783E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  1994       2       2  cha2                 0.1311E+04     0.1307E+04     0.3059E+01     0.0000E+00     0.1777E+00     0.0000E+00     0.0000E+00     0.1264E+02     0.0000E+00     0.6038E+07     0.0000E+00     0.4694E+04     0.0000E+00     0.2415E+01     0.0000E+00     0.1208E+01     0.0000E+00     0.2839E+02     0.0000E+00     0.7338E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1025E+04     0.0000E+00     0.9564E+01     0.0000E+00     0.7402E+01     0.0000E+00     0.7396E+02     0.0000E+00     0.8566E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  1994       3       3  cha3                 0.7368E+03     0.7350E+03     0.1727E+01     0.0000E+00     0.1020E+00     0.0000E+00     0.0000E+00     0.2884E+01     0.0000E+00     0.3344E+07     0.0000E+00     0.3500E+04     0.0000E+00     0.4461E+00     0.0000E+00     0.2231E+00     0.0000E+00     0.1083E+02     0.0000E+00     0.2355E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8890E+03     0.0000E+00     0.1202E+02     0.0000E+00     0.1175E+02     0.0000E+00     0.1175E+03     0.0000E+00     0.9404E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  1995       1       1  cha1                 0.1528E+04     0.1525E+04     0.5099E+01     0.0000E+00     0.5905E-01     0.0000E+00     0.0000E+00     0.4620E+00     0.0000E+00     0.2886E+07     0.0000E+00     0.1774E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5314E+01     0.0000E+00     0.8223E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2066E+03     0.0000E+00     0.2364E+01     0.0000E+00     0.1591E+01     0.0000E+00     0.1583E+02     0.0000E+00     0.9783E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  1995       2       2  cha2                 0.6438E+03     0.6425E+03     0.1780E+01     0.0000E+00     0.7629E-01     0.0000E+00     0.0000E+00     0.1784E+01     0.0000E+00     0.3348E+07     0.0000E+00     0.6762E+03     0.0000E+00     0.8473E-01     0.0000E+00     0.4237E-01     0.0000E+00     0.9347E+01     0.0000E+00     0.1458E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5709E+03     0.0000E+00     0.6346E+01     0.0000E+00     0.4105E+01     0.0000E+00     0.4099E+02     0.0000E+00     0.8566E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
   365    12    31  1995       3       3  cha3                 0.3440E+03     0.3433E+03     0.7653E+00     0.0000E+00     0.3969E-01     0.0000E+00     0.0000E+00     0.7016E+00     0.0000E+00     0.1805E+07     0.0000E+00     0.2791E+03     0.0000E+00     0.1509E-01     0.0000E+00     0.7546E-02     0.0000E+00     0.4342E+01     0.0000E+00     0.6226E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.4497E+03     0.0000E+00     0.6563E+01     0.0000E+00     0.5919E+01     0.0000E+00     0.5911E+02     0.0000E+00     0.9404E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00
